#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
337,Minnesota,34,39.9,75.0,26.8,56.8,.472,7.9,22.2,.355,13.6,19.7,.690,8.3,23.4,31.6,17.3,6.3,4.4,11.5,16.1
338,UCF,33,39.9,71.7,24.8,58.9,.420,6.8,21.2,.322,15.4,21.9,.701,10.6,23.6,34.2,11.4,8.7,5.0,11.7,18.2
339,Miami (FL),32,39.9,75.8,27.8,61.3,.454,8.9,24.8,.361,11.3,15.1,.745,8.8,25.3,34.1,14.2,7.2,3.1,11.9,13.1
340,North Carolina A&T,32,39.9,65.6,22.7,58.5,.388,6.0,20.9,.287,14.2,19.9,.713,7.7,20.5,28.2,10.2,5.6,3.3,8.6,15.3
341,Gonzaga,34,39.9,85.0,32.1,61.9,.519,7.0,19.3,.362,13.9,19.2,.723,9.6,26.4,36.1,16.8,6.7,4.0,9.6,15.6
342,Xavier,34,39.9,75.9,27.1,62.2,.436,6.8,19.9,.342,14.7,19.8,.746,9.9,25.1,34.9,16.2,6.9,3.4,11.3,16.8
343,Duke,34,39.9,79.8,28.4,58.9,.482,8.4,22.2,.381,14.6,20.2,.721,9.3,24.9,34.2,15.5,6.7,3.7,9.3,15.7
344,Saint Louis,33,39.9,74.9,25.6,56.8,.451,7.8,21.4,.367,15.9,21.2,.750,7.4,23.4,30.8,12.9,6.1,3.1,11.3,18.1
345,Belmont,33,39.9,77.9,27.9,58.8,.476,9.1,24.6,.371,12.9,17.8,.723,6.4,25.7,32.1,15.3,7.5,3.1,11.7,15.5
346,San Diego,33,39.9,72.5,25.7,59.9,.429,7.1,20.5,.344,14.0,19.2,.728,8.5,22.3,30.8,13.1,7.2,3.8,12.5,19.0
347,Murray State,32,39.9,69.8,25.7,57.5,.446,6.5,20.3,.321,11.9,17.1,.697,8.3,22.2,30.5,11.5,6.0,2.7,9.1,15.3
348,Rhode Island,32,39.9,72.6,25.8,56.3,.459,6.5,18.7,.349,14.4,22.3,.647,8.8,24.6,33.4,12.8,4.7,3.1,12.3,16.9
349,Indiana State,36,39.9,84.6,29.2,57.6,.506,10.8,28.4,.381,15.5,19.4,.799,6.1,27.0,33.1,17.7,6.2,1.8,11.4,16.4
350,Western Kentucky,34,39.9,80.2,29.3,62.9,.466,6.9,20.2,.340,14.8,20.6,.720,9.1,28.0,37.1,13.4,7.6,3.2,13.5,18.4
351,South Florida,33,39.8,75.7,25.4,57.6,.441,8.9,24.4,.367,16.1,21.8,.737,8.5,24.2,32.6,14.9,6.9,3.4,10.3,17.2
352,UCLA,33,39.8,66.0,23.1,55.2,.419,5.5,16.7,.332,14.2,19.5,.730,9.0,22.2,31.2,11.2,5.8,3.3,10.3,18.5
353,Hampton,33,39.8,71.8,25.8,60.9,.424,7.3,23.0,.318,12.8,17.9,.714,9.9,24.0,33.9,12.8,5.8,3.7,12.2,16.3
354,Ole Miss,32,39.8,74.9,26.2,58.6,.447,7.5,20.6,.366,15.0,20.6,.728,8.5,21.7,30.2,15.1,7.8,5.8,10.3,16.3
355,Syracuse,32,39.8,76.3,27.6,59.8,.461,6.8,20.3,.337,14.3,19.8,.721,7.3,23.2,30.4,13.8,9.1,4.0,11.0,15.4
356,Duquesne,37,39.8,70.6,24.9,57.0,.436,7.5,22.2,.340,13.2,18.4,.720,9.2,23.1,32.3,13.4,7.5,4.3,11.2,17.1
357,Valparaiso,32,39.8,67.6,24.9,61.3,.406,7.3,22.5,.325,10.5,14.7,.715,9.2,22.2,31.3,12.0,6.2,3.5,10.7,16.3
358,Rutgers,32,39.8,65.4,23.4,60.2,.389,5.5,19.1,.287,13.0,19.8,.658,10.8,23.5,34.3,11.8,7.7,5.2,11.1,16.9
359,George Mason,32,39.8,71.0,24.7,53.8,.460,6.8,19.9,.342,14.8,19.9,.743,8.7,24.5,33.2,11.4,5.5,3.4,11.3,16.5
360,Pittsburgh,33,39.8,75.6,26.5,60.6,.437,9.6,26.9,.357,13.1,18.5,.708,10.1,24.5,34.6,13.7,6.3,4.5,8.7,15.5
361,Brigham Young,34,39.8,81.4,29.2,63.4,.460,11.1,32.0,.348,11.9,16.1,.742,10.1,26.1,36.3,18.5,5.9,3.0,10.4,17.7
362,Virginia Tech,34,39.8,74.9,26.1,56.0,.465,8.1,23.3,.348,14.7,18.5,.793,6.6,23.6,30.2,15.1,5.3,2.4,10.8,15.9
